,Title,Year,Doc,Romance,Sci Fi,Comedy,Crime,Drama,Horror,Thriller,Action,Fantasy,Animation,DTW,Notable Actors,Director,Description,Review Rating,Review Comment
,Boy,2010,,,,,,,,,,,,,,Taika Waititi,"NZ boy's estranged father returns to him and his brothers and step-brothers, where 'Boy' discovers Dad isn't all he was cut up to be.",👍,"Taika's earliest film and most modest. Much more focussed on his very trademark with and dialogue than his other films - there aren't any spectaculare plotlines or scenes. Funny, charming and heartwarming much like all his others films. More of what you already expect of him, good but wasn't blow away by it personally."
,Free Solo,2018,x,,,,,,,,,,,,,Jimmy Chin,,👍,"Well told, fascinating character. Good subject matter. Nerve wracking."
,Goodfellas,1990,,,,,x,x,,,,,,,"De Niro, Joe Pesci, Ray Liotta",Martin Scorsese,Classic gangster movie,👍,
,Icarus,2017,x,,,,,,,,,,,,,Bryan Fogel,Doc maker stumbles into uncovering the state-sanctioned doping conspiracy,👍,"Amazing story uncovering the lengths Russia will go to to win in international sporting. Protagonist Grigory R is extremely lovable, despite what he had done for most of his life."
,Joker,2019,,,,,,,,x,,,,,Joaquin Phoenix,Todd Philips,,👍,"Didn't need to see killing of Batman's parents - I get it already, batman and joker are nemesis. Scene dancing on the stairs killed the malaise and dread the film built up so well, would love to see the film without and that playful and amusing segment so the film's dread just builds up until the finale. Tone down the batman connections a little bit, too many. Phoenix ridiculously good, physical acting too."
,Moneyball,2011,,,,,,x,,,,,,,"Brad Pitt, Jonah Hill",Bennett Miller,True-life story of a baseball manager's attmept to redefine the game with statistics.,👍,"Well performed film (really liked Jonah Hill) explaining details of a complicated system quite well, not so dissimilar to The Big Short (same director). Overly twee at times, namely the ending and some of the sports moments. Generally a really interesting story."
,Sleepaway Camp,1983,,,,,,,x,,,,,,,Robert Hiltzik,Cult slasher,👍,Genuinely terrifying ending. haunted in sleep. Rest of film very okay.
,Foxcatcher,2014,,,,,,x,,,,,,,"Steve Carrell, Channing Tatum, Mark Ruffallo",Bennett Miller,Real life story of psycho wrestling manager.,👍,cba
,Capote,2005,,,,,,x,,,,,,,Philip Seymour Hoffmann,Bennett Miller,"True-life story of famous author Truman Capote, establish an unlikely friendship with a killer whilst he researches a murder case for his famous book In Cold Blood.",👍,"Helps greatly to have read In Cold Blood before-hand, as the film really adds so much more detail to the story of how the novel was put together. Fascinating to witness how close and comitted Capote was to the killers and how constructed the story. It's a slow-moving film and fairly serious, Seymour-Hoffman is amazing in it, anothe film reminding of how great an actor he was."
,John Wick,2014,,,,,x,,,x,x,,,,Keanu Reeves,Chad Stahelski,,👍,So many cliche lines. great trash action film.
,Call Me By Your Name,2017,,x,,,,x,,,,,,x,"Armie Hammer, Timmy Chalamet",Luca Guadagnino,,👍👍,
,Being John Malkovich,1999,,,,x,,x,,,,,,,"John Cusack, John Malkovich, Cameron Diaz",Spike Jonze,,👍👍,just mad
,Audition,1999,,,,,,,x,,,,,,,Takashi Miike,Very famous (cited as best ever by some) psychological japanese horror.,👍👍,"90% romantic drama with subtle creepy elements and the final 10% being psychopathic torture-gore. Can see why it's so famous, the massive build up of the first 90% of the film leading to the final 10% lands pretty well and had me gawking during hte last 20 or so minutes. Very creepy elements that stick with you as well after for the torture scene. Eesh. Worth a watch if you're in the mood for a japanese horror and want to know the cult films of the genre."
,Honey Boy,2019,,,,,,x,,,,,,,Shia labeouf,Alma Har'el,,👍👍,Interesting portrayal of father/son relationship that is tumultuous and affecting - based on Shia LaBeouf's childhood. The actor playing young Shia is v good. Writing accurately shows the dynamic in a disfuctional family where often it's the kid that has to be the mediator/responsible one and is old before their time.
,Silence Of The Lambs,1991,,,,,,,,x,,,,,"Jodie Foster, Anthony Hopkins",Jonathan Demme,,👍👍,it's a classic and whats his face is a great character. Whats her face is great too.
,The Lighthouse,2019,,,,,,x,x,,,x,,,"R-Patz, Willem Dafoe",Robert Eggers,same director as The Witch,👍👍,Defos needs a second watch for it to sink in. Both watched totally agahst at the weird scenes that were playing out. An unexpected horror. Some scenes are burnt into my eyes. WD and R Patz both amazing.
,Capernaum,2018,,,,,,x,,,,,,,,Nadine Laba,Story of a child's struggle in war-torn Beirut.,👍👍,"Maybe my favourite film of 2018. Harrowing, wasn't a dry eye in the cinema. Very well directed and acted by Syrian refugee child-actor. Touches heavily on topics of poverty, refugees, child poverty and human behaviour in desparation. One of the core plot elements (child sueing his parents) is pretty ridiculous, but not too hard to overlook. Highest possible recommendation, but prepare yourself for an a cry."
,No Stone Unturned,2017,x,,,,,,,,,,,,,Alex Gibney,Documentary uncovering secrets kepy by the government during the troubles,👍👍,"Totally shocking, gives a great general insight into the NI Troubles which personally I knew nothing about. Delves into the grey areas around certain murders carried out by the UVF, and the level of police and gvt collusion and purposeful mismanagement of investigations. Amazing investigative journalism, and mix of witness / narration to tell the story."
,Se7en,1995,,,,,,,,x,,,,,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, Kevin Spacey",David Fincher,,👍👍,"Good pace, good gore, Brad, Morgan and Gwenny at their peak, wet and miserable city sets an uncomfortable scene and stands the test of time. Who knew it was actually Kevin Spacey. Ending is a stonker."
,The Irishman,2019,,,,,x,x,,,,,,,"Robert Di Nero, Joe Pesci",Martin Scorsese,,👍👍,"Peak performance from Robert De Niro, possibly his best. Joe Pesci incredible in it too, definiteliy one of his best also. Slightly too long perhaps but I think the length vitally contributes to the emotional impact of a couple of immensely powerful scenes, both owned by Robert De Niro. Slightly different to other Scorscse gangster films in that it seems to glorify gangster lifestyles much less. Get use to the facial augmentation of their younger selves pretty quick, looks great. Embaressing there is almost 0 lines from a women though, how can a 3+ hour film go with basically no female lines it's bloody madness. "
,Parasite,2019,,,,x,,x,,x,,,,,,Bong Joon-ho,,🥔🥔🥔,"One of those few films that plays around with it's genre-format, switching between expectations as the film progresses. Funny, dramatic, playful and serious all at once. Really excellent film, one of the best of 2019 "
,For Sama,2019,x,,,,,,,,,,,,Hamza Al-Khateab,Waad Al-Khateab,Won best doc at cannes 2019 and loads of other awards. Harrowing,🥔🥔🥔,"Harrowing no-filter story on the brutality of war, genuinely haunting scenes. Savage window into the human spirit in the most dire of situations. Easily one of the most upsetting things I've ever seen. Amazing the director was capable of holding a camera up to so much of this. Made me dream of rivers of blood :D"
,The Fly,1986,,,,,,,x,,,,,,Jeff Goldblum,David Cronenberg,,🥔🥔🥔,"Gorey and funny, such a sick 80s horror. Best bit when his jaw falls off."
,The Thing,1982,,,x,,,,x,,,,,,Kurt Russel,John Carpenter,,🥔🥔🥔,Best kind of 80s gore effects that are as funny as they are horrifying. The trust games that play out are great and the contentious ending is KILLER. Totally deserved of it's reputation as one of the best horrors ever made.
,Pi,1999,,,,,,,,x,,,,,,Darren Aronofsky,Won the cannes award in the 90s,😐,
,Behind The Curve (Flat Earthers),2018,x,,,,,,,,,,,,,Daniel J. Clark,Flat earthers doc,😐,Mildly interesting. Too long as all Netflix docs seem to be now.
,Creepshow,1982,,,,,,,x,,,,,,Leslie Neilson,George A Romero,Debut Screenplay from Stephen King. Series of short films and spooky happenings.,😐,"Really weird tone between slapstick and scary, never quite doing either. Leslie Neilson's short as a psycho killer is ace though. WHERE'S MY CAKE?"
,Diego Maradona,2019,x,,,,,,,,,,,,,Asif Kapadia,,😐,"Interesting but lacking moment of emotional impact. Not a huge amount of footage from 'behind-the-scenes' like Amy and Senna, it was 90% him playing football. Felt like there was a vital aspect missing of sorts, perhaps caused by the fact he is still living and surely some secrets are still kept under wraps. Nice film but incomparable to Senna and Amy."
,Escape From New York,1981,,,x,,,,,,x,,,,Kurt Russell,John Carpenter,"Classic John Carpenter film and iconic dystopia from the early 80s. Set in new-york-turned-giant-prison where all of America's criminils are sent, Air Force One crashes within it and anti-hero good guy gone bad Snake Plissken is sent in to save him in exchange for a pardon for his crimes. Fun Fact: This Snake has a crazy long list of characters that were inspired by him, including Snake from the Metal Gear series.",😐,"If The Warriors and Indiana Jones made a baby, and that baby had a baby with The Rock (film) and some cowboy western it would be this. Very 80s action movie including John Carpenter soundtrack and slow pacing. It's a silly concept and movie played out seriously, particularly amusing from Kurt Russel. Not a funny movie, straight action dystopia. Stands above many because of how great the world is and how well the mood of it is played out."
,The Two Popes,2019,,,,,,x,,,,,,,,Fernando Meirelles,,😐,"Enjoyed the character portrayal and performances are great, but definitely pretty dissapointing upon reading how false much of it is. Overly romanticising their relationship, but still an enjoyable story if you can embrace the potential falsehood. Really enjoyed how much character and personality it gave to priests - people who I think are often lost of character."
,mid90s,2018,,,,,,x,,,,,,,,Jonah Hill,Coming of age tale of a young teenager finding a community in local LA skateboarders.,🙅,"Quite dull and definitely dragged on. Directed pretty well, enjoyed the style of it all and did well to achieve the nostalgia of 90s skateboarding, but in the end felt there was little substance, new or affecting in the film. It's not without it's cliches either. Also suspiciously close story to one of the best documentaries ever Minding The Gap - any comparison to that film is perhaps why I'm being so critical of mid90s."
,A Room for Romeo Brass,1999,,,,x,,x,,,,,,x,Paddy Considine,Shane Meadows,Shane Meadows' debut feature film,,
,Bad Taste,1987,,,x,x,,,x,,,,,x,,Peter Jackson,Cult slapstick comedy / horror / sci fi about aliens using human flesh for an alien fast food chain,,
,Nomad: in the Footsteps of Bruce Chatwin,2019,x,,,x,,,,,,,,x,,Werner Herzog,,,
,Calvary,2014,,,,x,,x,,,,,,x,Brenden Gleeson,John Michael McDonagh,Irish comedy / drama starring Gleeson as a priest resolves a threatening issue with his local community.,,
,Cecil B DeMented,2000,,,,x,x,,,x,,,,x,"Stephen Dorff, Maggie G",John Waters,,,
,200 Cigarettes,1999,,x,,x,,x,,,,,,,"Ben & Casey Affleck, Kate Hudson, Dave Chapelle",Risa Bramon Garcia,awful but cult,,
,The Day Shall Come,2019,,,,x,x,,,,,,,,,Chris Morris,,,
,24 Hour Party People,2002,,,,x,,x,,,,,,,"Steve Coogan, Paddy Considine",Michael Winterbottom,,,
,Barberella,1968,,,x,x,,,,,,x,,,Jane Fonda,Roger Vadim,,,
,Benjamin,2018,,x,,x,,,,,,,,,,Simon Amstell,,,
,Cocoon,1985,,,x,x,,,,,,,,,,Ron Howard,oldies swimming in contaminated water,,
,Critters,1986,,,x,x,,,x,,,,,,,Stephen Herek,Gremlins 80s horror vibe.,,
,Dick,1999,,,,x,,,,,,,,,"Kirsten Dunst, Michelle Williams",Andrew Fleming,2 girls wander away from a White House tour and meet Pres Nixon... says it all really,,
,Dr. Strangelove,1964,,,,x,,,,,,,,,Peter Cellers,Stanley Kubrick,,,
,Drop Dead Gorgeous,1999,,,,x,,,,x,,,,,Kirsten Dunst,Michael Patrick Dann,,,
,Good Times,1967,,x,,x,,,,,,,,,Sonny & Cher!,William Friedkin,,,
,Inherent Vice,2014,,,,x,x,x,,,,,,,"Joaquin Phoenix, Josh Brolin",Paul Thomas Anderson,,,
,Lars and the Real Girl,2007,,x,,x,,x,,,,,,,Ryan Gosling,Craig Gillespie,Fella falls in love with a sex doll,,
,Local Hero,1983,,,,x,,x,,,,,,,,Bill Forsyth,,,
,Maximum Overdrive,1986,,,,x,,,x,,x,,,,,Stephen King,Radioactive comet brings all machines on earth to live who turn against their makers.,,
,Paddington,2014,,,,x,,,,,,,,,"Hugh Bonneville, Sally Hawkins",Paul King,Kiddie warm fuzzy feels film about a marmalade loving bear,,
,Punch-Drunk Love,2002,,x,,x,,x,,,,,,,Adam Sandler,Paul Thomas Anderson,,,
,SFW,1994,,,,x,,x,,,,,,,"Stephen Dorff, Reese Witherspoon",Jefery Levy,,,
,Steel Magnolias,1989,,x,,x,,x,,,,,,,,Herbert Ross,cheeeesy,,
,The Rum Diary,2011,,,,x,,x,,,,,,,Johnny Depp,Bruce Robinson,,,
,Theatre of Blood,1973,,,,x,,,x,,,,,,,Douglas Hickox,,,
,View from the Top,2003,,x,,x,,,,,,,,,Gwenny,Bruno Barreto,famous shit film that ayoade wrote a book on,,
,Wild At Heart,1991,,,,x,,x,,,,,,,"Nicolas Cage, Laura Dern",David Lynch,,,
,American History X,1998,,,,,,x,,,,,,x,Edward Norton,Tony Kaye,,,
,Basic Instinct,1992,,,,,,x,,x,,,,x,"Michael Douglas, Sharon Stone",Paul Verhoeven,,,
,Brazil,1985,,,x,,,,,,,,,x,,Terry Gilliam,Dystopia sci fi,,
,Gladiator,2000,,,,,,x,,,x,,,x,"Russell Crowe, Joaquin Phoenix",Ridley Scott,,,
,Hunger,2008,,,,,,x,,,,,,x,"Michael Fassbender, Liam Cunningham",Steve McQueen,IRA hunger strike drama,,
,Nil By Mouth,1997,,,,,,x,,,,,,x,"Kathy Burke, Ray Winstone",Gary Oldman,,,
,"Paris, Texas",1984,,,,,,x,,,,,,x,,Wim Wenders,ry cooder music,,
,Psycho,1960,,,,,,,x,x,,,,x,Anthoney Perlins,Alfred Hitchcock,,,
,Scum,1979,,,,,x,x,,,,,,x,Ray Winstone (young),Alan Clarke,Influential film from Alan Clarke displaying the violence and struggles in 70s British borstal. On Youtube: https://www.youtube.com/watch?v=-3qGEk_zD9M,,
,Blow Up,1966,,,,,,x,,x,,,,x,,Michelangelo Antonioni,,,
,Blue,1993,,,,,,x,,,,,,x,Tilda Swinton,Derek Jarman,"All blue film by Derek Jarman, made as he was going blind caused by AIDS. Primarily a monologue of him reflecting on the experience.",,
,Eyes Wide Shut,1999,,,,,,x,,x,,,,x,"Tom Cruise, Nicole Kidman",Stanley Kubrick,Sexy thriller.,,
,Gallivant,1996,x,,,,,,,,,,,x,,Andrew Kotting,,,
,I'M TRYNA TELL YA,2014,x,,,,,,,,,,,x,,Time & Barry lol,Documentary on the origins of Footwork. Available on Youtube.,,
,Ichi The Killer,2001,,,,,,,x,,,,,x,,Takashi Miike,Incredibly violent a psycho killer and yakuza gangs. Banned in several countries for it's violence looks bloody savage.,,
,Logan's Run,1976,,,x,,,,,,x,,,x,,Michael Anderson,"Classic sci-fi from the 70s in a utopia / dystopia where only the young live, and once you hit a certain (young) age you're killed. Film follows an aging young'n refusing to die at his required age, where he then goes on the run from hunters.",,
,Lost In Translation,2003,,,,,,x,,,,,,x,"Bill Murray, Scarlett Johansson",Sofia Coppola,,,
,Trick or treat,1986,,,,,,,x,,,,,x,,,80s metal horror. About a teen haunted by his favourite rock start. Guest appearances from ozzy osbourne and gene simmons.,,
,Under The Skin,2013,,,,,,x,,,,,,x,scarlett johansen,Jonathan Glazer,Not saying anything just watch. Sick sick soundtrack from MIca Levi.,,
,Untouchable,2019,x,,,,,,,,,,,x,,Ursula Macfarlane,doc on Harvey Weinstein,,
,Peanut Butter Falcon,2019,,,,,,x,,,,,,x,Shia LeBouf,"Tyler Nilson, Michael Schwartz",,,
,Stalker,1979,,,x,,,,,,,,,x,,Andrei Tarkovsky,,,
,Near Dark,1987,,,,,,,x,,,,,x,,,"""Neo-western"" 80s vampire horror soundtracked by Tangerine Dream. Has a cult following.",,
,Salesmen,1969,x,,,,,,,,,,,x,,Maysles Brothers,Same directors who did Grey Gardens,,
,The World at War,1973,x,,,,,,,,,,,,,,docu series on WW2,,
,Friday The 13th,1980,,,,,,,x,x,,,,,,Sean S. Cunningham,,,
,Hide and Seek (Korean),2013,,,,,,,x,x,,,,,,Jung Huh,Korean cult horror,,
,High Life,2019,,,,,,,,,,,,,robert pattinson,,,,
,Moonlight,2016,,,,,,x,,,,,,,,Barry Jenkins,,,
,The Master,2012,,,,,,x,,,,,,,Joaquin Phoenix,Paul Thomas Anderson,Scientology with Joaquin + by PTA!,,
,Vagabond,1985,,,,,,x,,,,,,,,Agnès Varda,"Highly recommended via Kenny, I think.",,
,12 Angry Men,1957,,,,,,x,,,,,,,,Sidney Lumet,,,
,2001: A Space Odyssey,1968,,,x,,,x,,,,,,,,Stanley Kubrick,,,
,A Beautiful Mind,2001,,,,,,x,,,,,,,"Russel Crowe, Jennifer Connelly",Ron Howard,,,
,A Ghost Story,2017,,,,,,,,,,,,,,David Lowery,,,
,Alien,1979,,,x,,,,x,,,,,,Sigourney Weaver,Ridley Scott,,,
,American Honey,2016,,x,,,,x,,,,,,,Shia LeBeef,Andrea Arnold,,,
,Anthropocene: the human epoch,2018,x,,,,,,,,,,,,,Jennifer Baichwell,Likely depressing - how humans are impacting the world,,
,Argo,2012,,,,,,x,,x,,,,,"Ben Affleck, Bryan Cranston",Ben Affleck,,,
,Bad Lieutenant,1993,,,,,,,,,,,,,,Abel Ferrara,One of Femi's fav films.,,
,Being Flynn,2012,,,,,,x,,,,,,,"Paul Dano, Robert De Niro",Paul Weitz,,,
,Blue Velvet,1986,,,,,,x,,x,,,,,Kyle the guy from SATC,David Lynch,,,
,Boogie Nights,1997,,,,,,x,,,,,,,"Mark Wahlberg, Julianne Moore",Paul Thomas Anderson,,,
,Carrie,1976,,,,,,,x,,,,,,,Brian de Palma,Stephen King,,
,Catch Me If You Can,2002,,,,,x,x,,,,,,,"Leo, Tom Hanks, Christopher Walken",Steven Spielberg,,,
,Christine,1983,,,,,,,x,x,,,,,,John Carpenter,80s evil car horror. Written by Stephen King.,,
,Cruising,1980,,,,,,,,,,,,,Al Pacino,William Friedkin,Murder crime drama about a murderer in 70s New York targeting men in the gay leather scene.,,
,Dangerous Liaisons,1988,,x,,,,x,,,,,,,"Glenn Close, John Malkovich, Michelle Pfeiffer",Stephan Frears,,,
,Darkest Hour,2017,,,,,,x,,,,,,,Gary Oldman,Joe Wright,,,
,Demon Seed,1977,,,x,,,,x,,,,,,,Donald Cammell,,,
,Die Hard,1989,,,,,,,,,x,,,,Bruce Wilis,John McTiernan,,,
,Dior & I,2014,x,,,,,,,,,,,,,Frédéric Tcheng,,,
,Dog Days,2001,,,,,,,,,,,,,,Ulrich Seidl,Bleak docu film recommended by Ben,,
,Dogtooth,2009,,,,,,x,,x,,,,,,Yorgos Lanthimos,,,
,Dogville,2003,,,,,,,,,,,,,Nicole Kidman,lars von trier,"Film on a set with no walls only lines in the floor, recommended by Ben.",,
,Dolores Claibourne,1995,,,,,x,x,x,,,,,,Kathy Bates,Taylor Hackford,Stephen King novel.,,
,Don't Look Now,1973,,,,,,,x,,,,,,"Julie Christie, Donald Sutherland",Nicolas Roeg,,,
,Easy Rider,1969,,,,,,x,,,,,,,,Dennis Hopper,"Road drama of harley davidson bikers road tripping across america. Drugs, rock n roll alll that vibe, very of the era.",,
,Fargo,1996,,,,,x,x,,x,,,,,"Frances McDourmand, William H. Macy",Coen Brothers,,,
,Fatal Attraction,1987,,,,,,x,,x,,,,,"Michael Douglas, Glenn Close",Adrian Lyne,,,
,Fish Tank,2009,,,,,,x,,,,,,,Fassbender,Andrea Arnold,,,
,For Ellen,2012,,,,,,x,,,,,,,Paul Dano,SoYong Kim,,,
,Full Metal Jacket,1987,,,,,,x,,,,,,,,Stanley Kubrick,Classic war film,,
,Good Will Hunting,1997,,x,,,,x,,,,,,,"Matt Damon, Robin Williams, Ben Affleck",Gus Van Sant,,,
,Guess Who's Coming For Dinner,1967,,,,,,,,,,,,,,Stanley Kramer,,,
,Hard Eight,1996,,,,,x,x,,,,,,,"John C. Reilly, Gwenny",Paul Thomas Anderson,PTA directorial debut.,,
,Hellraiser II: Hellbound,1988,,,,,,,x,,,,,,,Tony Randel,,,
,Hellraiser III: Hell on Earth,1992,,,,,,,x,,,,,,,Anthony Hickox,,,
,Hellraiser IIII: Bloodline,1996,,,,,,,x,,,,,,,Kevin Yagher (as Alan Smithee),,,
,Human Flow,2017,x,,,,,,,,,,,,,Ai WeiWei,sad - global refugee crisis :(,,
,Invasion of the Body Snatchers,1978,,,x,,,,x,,,,,,"Donald Sutherland, Jeff Goldblum",Philip Kaufman,,,
,Kez,1970,,,,,,,,,,,,,,Ken Loach,,,
,Lady Vengeance - The Vengence Trilogy No3,2002 - 2005,,,,,,,x,,,,,,,Park Chan-wook,Korean Cult no 3 of vengeance trilogy,,
,Leon,1994,,,,,,,,x,x,,,,"Jean Reno, Gary Oldman, Natalie Portman",Luc Besson,,,
,Let the Corpses Tan,2017,,,,,,,,x,,,,,,Hélène Cattet,,,
,LIST OF OSCAR WINNING DOCS,,,,,,,,,,,,,,,,,,
,Lolita,1997,,x,,,,x,,,,,,,Jeremy Irons,Stanley Kubrick,,,
,London,1994,x,,,,,,,,,,,,,Patric Keiller,,,
,Magnolia,1999,,,,,,x,,,,,,,"Tom Cruise, Julianne Moore",Paul Thomas Anderson,,,
,Memento,2000,,,,,,,,x,,,,,Guy Pearce,Christopher Nolan,,,
,Minutemen 'We Jam Encono',2005,x,,,,,,,,,,,,Minutemen (band),Tim Irwin,doc about early 80s punk rock 80s band Minutemen,,
,Misery,1990,,,,,,,x,,,,,,,Rob Reiner,Stephen King,,
,My Left Foot,1989,,,,,,x,,,,,,,Daniel Day-Lewis,Jim Sheridan,,,
,Oldboy - The Vengeance Trilogy No2 ,2003,,,,,,,,x,x,,,,,Park Chan-wook,"Cult action thriller, big twist ending. No2 in The Vengence Trilogy",,
,One Cut of the Dead,2020,,,,,,,x,,,,,,,Shinichirou Ueda,Important to go in to this blind - redletter list as 2nd fave movie of the year. Japanese horror.,,
,Paradise Love,2012,,,,,,,,,,,,,,Ulrich Seidl,bleak docu film recommended by Elisa,,
,Phone,2002,,,,,,,x,,,,,,,Byeong-ki Ahn,The original The Ring. Korean cult horror,,
,Raiders of the Lost Ark,1981,,,,,,,,,x,,,,Harrison Ford,Steven Spielberg,,,
,Rain Man,1988,,,,,,x,,,,,,,"Dustin Hoffman, Tom Cruise",Barry Levinson,,,
,Risk,2016,x,,,,,,,,,,,,Julian Assange,Laura Poitras,,,
,Romeo & Juliet,1996,,x,,,,x,,,,,,,"Leo, Paul Rudd",Baz,,,
,Selena,1997,,,,,,x,,,,,,,J Lo,Gregory Nava,,,
,Speed,1994,,,,,,x,,x,x,,,,"Keanu Reeves, Sandra Bullock",Jan de Bont,,,
,Swallow,2019,,,,,,x,x,x,,,,,,Carlo Mirabella-Davis,Woman who can't stop swallowing dangerous things,,
,Sympathy for Mr Vengeance - The Vengence Trilogy No1 ,2002 - 2005,,,,,,,x,,,,,,,Park Chan-wook,Korean Cult,,
,Texas Chainsaw Massacre (Original),1974,,,,,,,x,,,,,,,Tobe Hooper,the old one,,
,The Blair Witch Project,1999,,,,,,,x,,,,,,,Daniel Myrick,,,
,The Evil Dead,1981,,,,,,,x,,,,,,,Sam Raimi,,,
,The Exorcist,1973,,,,,,,x,,,,,,,William Friedkin,,,
,The Exorcist III,1990,,,,,,,x,,,,,,,William Peter Blatty,"Supposed to be very very good, best jump scare ever made.",,
,The Godfather,1972,,,,,x,x,,,,,,,"Marlon Brando, Al Pacino",Francis Ford Coppola,,,
,The Godfather Part II,1974,,,,,x,x,,,,,,,"Al Pacino, Robert De Niro",Francis Ford Coppola,,,
,The Godfather Part III,1990,,,,,x,x,,,,,,,"Al Pacino, Diane Keaton",Francis Ford Coppola,,,
,The Long Good Friday,1980,,,,,x,x,,,,,,,"Bob Hoskins, Helen Mirren",John Mackenzie,,,
,The Long Goodbye,1973,,,,,,,,x,,,,,,Robert Altman,Big recommednation from Anna (Niall's Girlfriend). Tom also rates this book highly.,,
,The Matrix (1),1999,,,x,,,,,,x,,,,Keanu Reeves,The Wachowski Brothers,,,
,The Matrix Reloaded (2),2003,,,x,,,,,,x,,,,Keanu Reeves,The Wachowski Brothers,,,
,The Matrix Revoloutions (3),2003,,,x,,,,,,x,,,,Keanu Reeves,The Wachowski Brothers,,,
,The Mist,2007,,,x,,,,x,,,,,,,Frank Darabont,Stephen King,,
,The Omen,1976,,,,,,,x,,,,,,,Richard Donner,,,
,The Piano,1993,,x,,,,x,,,,,,,,Jane Campion,,,
,The Unbeareable Lightness of Being,1988,,x,,,,x,,,,,,,Daniel Day-Lewis,Philip Kaufman,,,
,The Wailing,2016,,,,,,,x,,,,,,,Hong-jin Na,"Korean Cult, 99% rotten tomatoes",,
,The White Helmets,2016,,,,,,,,,,,,,,,Doc on 9/11 firefighters,,
,The Wicker Man (Original),1973,,,,,,x,x,x,,,,,,Robin Hardy,,,
,Train to Busan,2016,,,,,,,x,x,x,,,,,Sang-ho Yeon,Korean Cult,,
,Uncle boonme who can recall his past lives,2010,,,,,,x,,,,x,,,,Apichatpong Weerasethakul,Thai?,,
,Wings of Desire,1987,,x,,,,,,,,x,,,,Wim Wenders,Martin won't stop banging on about this film in Berlin,,
,Society,1989,,,,,,,,x,,,,,,,An ordinary teenage boy discovers his family is part of a gruesome orgy cult for the social elite.,,
,The White Diamond,2004,x,,,,,,,,,,,,,Werner Herzog,,,
,Crumb,1995,x,,,,,,,,,,,,,Terry Zwigoff,,,
,American Movie,1999,x,,,,,,,,,,,,,Chris Smith,,,
